x,y,zone,n_polygons,landed_in,defect,source
2.5,137.5,paint,1,mid_center,disagreement,grid
2.75,137.5,paint,1,mid_center,disagreement,grid
3,137.5,paint,1,mid_center,disagreement,grid
3.25,137.5,paint,1,mid_center,disagreement,grid
3.5,137.5,paint,1,mid_center,disagreement,grid
3.75,137.5,paint,1,mid_center,disagreement,grid
4,137.5,paint,1,mid_center,disagreement,grid
4.25,137.5,paint,1,mid_center,disagreement,grid
4.5,137.5,paint,1,mid_center,disagreement,grid
4.75,137.5,paint,1,mid_center,disagreement,grid
5,137.5,paint,1,mid_center,disagreement,grid
5.25,137.5,paint,1,mid_center,disagreement,grid
5.5,137.5,paint,1,mid_center,disagreement,grid
5.75,137.5,paint,1,mid_center,disagreement,grid
6,137.5,paint,1,mid_center,disagreement,grid
6.25,-39.5,rim,1,paint,disagreement,grid
6.25,39.5,rim,1,paint,disagreement,grid
6.25,137.5,paint,1,mid_center,disagreement,grid
6.5,137.5,paint,1,mid_center,disagreement,grid
6.75,137.5,paint,1,mid_center,disagreement,grid
7,137.5,paint,1,mid_center,disagreement,grid
7.25,137.5,paint,1,mid_center,disagreement,grid
7.5,137.5,paint,1,mid_center,disagreement,grid
7.75,137.5,paint,1,mid_center,disagreement,grid
8,137.5,paint,1,mid_center,disagreement,grid
8.25,137.5,paint,1,mid_center,disagreement,grid
8.5,137.5,paint,1,mid_center,disagreement,grid
8.75,137.5,paint,1,mid_center,disagreement,grid
9,137.5,paint,1,mid_center,disagreement,grid
9.25,137.5,paint,1,mid_center,disagreement,grid
9.5,137.5,paint,1,mid_center,disagreement,grid
9.75,137.5,paint,1,mid_center,disagreement,grid
10,137.5,paint,1,mid_center,disagreement,grid
10.25,137.5,paint,1,mid_center,disagreement,grid
10.5,137.5,paint,1,mid_center,disagreement,grid
10.75,137.5,paint,1,mid_center,disagreement,grid
11,137.5,paint,1,mid_center,disagreement,grid
11.25,137.5,paint,1,mid_center,disagreement,grid
11.5,137.5,paint,1,mid_center,disagreement,grid
11.75,137.5,paint,1,mid_center,disagreement,grid
12,137.5,paint,1,mid_center,disagreement,grid
12.25,137.5,paint,1,mid_center,disagreement,grid
12.5,137.5,paint,1,mid_center,disagreement,grid
12.75,137.5,paint,1,mid_center,disagreement,grid
13,137.5,paint,1,mid_center,disagreement,grid
13.25,137.5,paint,1,mid_center,disagreement,grid
13.5,137.5,paint,1,mid_center,disagreement,grid
13.75,137.5,paint,1,mid_center,disagreement,grid
14,137.5,paint,1,mid_center,disagreement,grid
14.25,137.5,paint,1,mid_center,disagreement,grid
14.5,137.5,paint,1,mid_center,disagreement,grid
14.75,137.5,paint,1,mid_center,disagreement,grid
15,137.5,paint,1,mid_center,disagreement,grid
15.25,137.5,paint,1,mid_center,disagreement,grid
15.5,137.5,paint,1,mid_center,disagreement,grid
15.75,-36.75,rim,1,paint,disagreement,grid
15.75,36.75,rim,1,paint,disagreement,grid
15.75,137.5,paint,1,mid_center,disagreement,grid
16,137.5,paint,1,mid_center,disagreement,grid
16.25,137.5,paint,1,mid_center,disagreement,grid
16.5,137.5,paint,1,mid_center,disagreement,grid
16.75,137.5,paint,1,mid_center,disagreement,grid
17,137.5,paint,1,mid_center,disagreement,grid
17.25,137.5,paint,1,mid_center,disagreement,grid
17.5,137.5,paint,1,mid_center,disagreement,grid
17.75,137.5,paint,1,mid_center,disagreement,grid
18,137.5,paint,1,mid_center,disagreement,grid
